"threshold","percentile_sum","cumulative_sum"
0.046,79369,10067024
0.0461,78670,9987655
0.0462,78635,9908985
0.0463,77772,9830350
0.0464,78120,9752578
0.0465,75844,9674458
0.0466,75459,9598614
0.0467,74992,9523155
0.0468,74653,9448163
0.0469,74515,9373510
0.047,72489,9298995
0.0471,72462,9226506
0.0472,71747,9154044
0.0473,70367,9082297
0.0474,69939,9011930
0.0475,70085,8941991
0.0476,68180,8871906
0.0477,68919,8803726
0.0478,67461,8734807
0.0479,66615,8667346
0.048,66449,8600731
0.0481,66356,8534282
0.0482,65643,8467926
0.0483,64965,8402283
0.0484,63971,8337318
0.0485,63897,8273347
0.0486,62482,8209450
0.0487,62644,8146968
0.0488,62665,8084324
0.0489,61144,8021659
0.049,60047,7960515
0.0491,60547,7900468
0.0492,60081,7839921
0.0493,59031,7779840
0.0494,59085,7720809
0.0495,57810,7661724
0.0496,57246,7603914
0.0497,56361,7546668
0.0498,56459,7490307
0.0499,56412,7433848
0.05,56101,7377436
0.0501,54637,7321335
0.0502,54987,7266698
0.0503,54263,7211711
0.0504,53256,7157448
0.0505,53149,7104192
0.0506,52388,7051043
0.0507,52339,6998655
0.0508,51956,6946316
0.0509,50947,6894360
0.051,51035,6843413
0.0511,50035,6792378
0.0512,50263,6742343
0.0513,49736,6692080
0.0514,49187,6642344
0.0515,48783,6593157
0.0516,48172,6544374
0.0517,47986,6496202
0.0518,47330,6448216
0.0519,45818,6400886
0.052,46190,6355068
0.0521,46117,6308878
0.0522,45601,6262761
0.0523,45868,6217160
0.0524,44835,6171292
0.0525,43643,6126457
0.0526,44325,6082814
0.0527,43279,6038489
0.0528,42619,5995210
0.0529,42915,5952591
0.053,42642,5909676
0.0531,42313,5867034
0.0532,41395,5824721
0.0533,41400,5783326
0.0534,41291,5741926
0.0535,41104,5700635
0.0536,40649,5659531
0.0537,40535,5618882
0.0538,39707,5578347
0.0539,39039,5538640
0.054,38570,5499601
0.0541,38668,5461031
0.0542,38344,5422363
0.0543,38292,5384019
0.0544,37843,5345727
0.0545,37523,5307884
0.0546,37161,5270361
0.0547,37176,5233200
0.0548,36669,5196024
0.0549,36670,5159355
0.055,35808,5122685
0.0551,35396,5086877
0.0552,35090,5051481
0.0553,34665,5016391
0.0554,34652,4981726
0.0555,33839,4947074
0.0556,34288,4913235
0.0557,33154,4878947
0.0558,33547,4845793
0.0559,33542,4812246
0.056,32752,4778704
0.0561,32651,4745952
0.0562,32930,4713301
0.0563,31314,4680371
0.0564,31357,4649057
0.0565,32142,4617700
0.0566,31135,4585558
0.0567,30667,4554423
0.0568,30609,4523756
0.0569,30812,4493147
0.057,29825,4462335
0.0571,30111,4432510
0.0572,29669,4402399
0.0573,29636,4372730
0.0574,28757,4343094
0.0575,29051,4314337
0.0576,28725,4285286
0.0577,28925,4256561
0.0578,28718,4227636
0.0579,27590,4198918
0.058,27741,4171328
0.0581,27012,4143587
0.0582,26853,4116575
0.0583,26960,4089722
0.0584,26283,4062762
0.0585,26704,4036479
0.0586,26506,4009775
0.0587,26375,3983269
0.0588,24988,3956894
0.0589,26016,3931906
0.059,25567,3905890
0.0591,25433,3880323
0.0592,25265,3854890
0.0593,24725,3829625
0.0594,24600,3804900
0.0595,24082,3780300
0.0596,24221,3756218
0.0597,23820,3731997
0.0598,23912,3708177
