"threshold","percentile_sum","cumulative_sum"
0.0545,20057,689339639
0.0546,20022,689319582
0.0547,20354,689299560
0.0548,20496,689279206
0.0549,20844,689258710
0.055,21066,689237866
0.0551,21167,689216800
0.0552,20981,689195633
0.0553,20894,689174652
0.0554,21285,689153758
0.0555,21397,689132473
0.0556,21682,689111076
0.0557,21760,689089394
0.0558,21348,689067634
0.0559,22503,689046286
0.056,22509,689023783
0.0561,22397,689001274
0.0562,22386,688978877
0.0563,22253,688956491
0.0564,22557,688934238
0.0565,22473,688911681
0.0566,22893,688889208
0.0567,23146,688866315
0.0568,23256,688843169
0.0569,23351,688819913
0.057,23604,688796562
0.0571,24037,688772958
0.0572,24146,688748921
0.0573,24293,688724775
0.0574,24060,688700482
0.0575,24329,688676422
0.0576,24501,688652093
0.0577,25168,688627592
0.0578,25107,688602424
0.0579,25268,688577317
0.058,25076,688552049
0.0581,25236,688526973
0.0582,25727,688501737
0.0583,25785,688476010
0.0584,25730,688450225
0.0585,26020,688424495
0.0586,25932,688398475
0.0587,26442,688372543
0.0588,26411,688346101
0.0589,26842,688319690
0.059,26455,688292848
0.0591,26924,688266393
0.0592,26719,688239469
0.0593,27258,688212750
0.0594,27662,688185492
0.0595,27553,688157830
0.0596,27783,688130277
0.0597,28159,688102494
0.0598,27668,688074335
0.0599,28117,688046667
0.06,28379,688018550
0.0601,28836,687990171
0.0602,28817,687961335
0.0603,29008,687932518
0.0604,29287,687903510
0.0605,29270,687874223
0.0606,29435,687844953
0.0607,29859,687815518
0.0608,29741,687785659
0.0609,30230,687755918
0.061,29883,687725688
0.0611,30245,687695805
0.0612,30174,687665560
0.0613,30907,687635386
0.0614,31036,687604479
0.0615,31243,687573443
0.0616,31364,687542200
0.0617,31223,687510836
0.0618,31765,687479613
0.0619,31676,687447848
0.062,31641,687416172
0.0621,32207,687384531
0.0622,31793,687352324
0.0623,32606,687320531
0.0624,32197,687287925
0.0625,33574,687255728
0.0626,32755,687222154
0.0627,33016,687189399
0.0628,33210,687156383
0.0629,33535,687123173
0.063,33928,687089638
0.0631,34192,687055710
0.0632,34078,687021518
0.0633,34488,686987440
0.0634,34074,686952952
0.0635,34303,686918878
0.0636,34591,686884575
0.0637,35118,686849984
0.0638,34912,686814866
0.0639,35420,686779954
0.064,34840,686744534
0.0641,35942,686709694
0.0642,35723,686673752
0.0643,35834,686638029
0.0644,36207,686602195
0.0645,36159,686565988
0.0646,36338,686529829
0.0647,36617,686493491
0.0648,37661,686456874
0.0649,36803,686419213
0.065,37487,686382410
0.0651,37605,686344923
0.0652,38082,686307318
0.0653,37380,686269236
0.0654,37552,686231856
0.0655,38114,686194304
0.0656,38335,686156190
0.0657,38579,686117855
0.0658,38967,686079276
0.0659,38861,686040309
0.066,39074,686001448
0.0661,39696,685962374
0.0662,39696,685922678
0.0663,39732,685882982
0.0664,40202,685843250
0.0665,39879,685803048
0.0666,40405,685763169
0.0667,40500,685722764
0.0668,40461,685682264
0.0669,40202,685641803
0.067,41743,685601601
0.0671,41187,685559858
0.0672,41284,685518671
0.0673,41687,685477387
0.0674,41442,685435700
0.0675,41672,685394258
0.0676,42155,685352586
0.0677,42544,685310431
0.0678,42045,685267887
0.0679,43265,685225842
0.068,42309,685182577
0.0681,42934,685140268
0.0682,43352,685097334
0.0683,43678,685053982
0.0684,43742,685010304
0.0685,43707,684966562
0.0686,44286,684922855
0.0687,44394,684878569
0.0688,44332,684834175
0.0689,45237,684789843
0.069,45048,684744606
0.0691,44777,684699558
0.0692,45405,684654781
0.0693,45366,684609376
0.0694,45699,684564010
0.0695,45657,684518311
0.0696,46537,684472654
0.0697,46259,684426117
0.0698,46530,684379858
0.0699,46498,684333328
0.07,46756,684286830
0.0701,47239,684240074
0.0702,47154,684192835
0.0703,47558,684145681
0.0704,47768,684098123
0.0705,47669,684050355
0.0706,48069,684002686
0.0707,48312,683954617
0.0708,48260,683906305
0.0709,48085,683858045
0.071,48400,683809960
0.0711,48884,683761560
0.0712,49305,683712676
0.0713,49529,683663371
0.0714,50086,683613842
0.0715,49968,683563756
0.0716,49821,683513788
0.0717,49782,683463967
0.0718,50819,683414185
0.0719,50672,683363366
0.072,51067,683312694
0.0721,50837,683261627
0.0722,51114,683210790
0.0723,51517,683159676
0.0724,51165,683108159
0.0725,51873,683056994
0.0726,52053,683005121
0.0727,52107,682953068
0.0728,52289,682900961
0.0729,52262,682848672
0.073,52982,682796410
0.0731,53014,682743428
0.0732,52610,682690414
0.0733,54101,682637804
0.0734,53372,682583703
0.0735,53997,682530331
0.0736,54116,682476334
0.0737,55075,682422218
0.0738,54254,682367143
0.0739,55191,682312889
0.074,54723,682257698
0.0741,55177,682202975
0.0742,55390,682147798
0.0743,55238,682092408
0.0744,55950,682037170
