"threshold","percentile_sum","cumulative_sum"
0.037,71389,9206210
0.0371,70989,9134821
0.0372,69944,9063832
0.0373,69326,8993888
0.0374,68976,8924562
0.0375,68077,8855586
0.0376,66844,8787509
0.0377,66752,8720665
0.0378,66570,8653913
0.0379,65536,8587343
0.038,64101,8521807
0.0381,64150,8457706
0.0382,63783,8393556
0.0383,63420,8329773
0.0384,62764,8266353
0.0385,62114,8203589
0.0386,61240,8141475
0.0387,60903,8080235
0.0388,60350,8019332
0.0389,59672,7958982
0.039,59348,7899310
0.0391,58490,7839962
0.0392,58064,7781472
0.0393,57412,7723408
0.0394,56881,7665996
0.0395,56868,7609115
0.0396,56265,7552247
0.0397,55156,7495982
0.0398,55109,7440826
0.0399,54473,7385717
0.04,53970,7331244
0.0401,53498,7277274
0.0402,53229,7223776
0.0403,52365,7170547
0.0404,52505,7118182
0.0405,51987,7065677
0.0406,51722,7013690
0.0407,51041,6961968
0.0408,51116,6910927
0.0409,50091,6859811
0.041,49738,6809720
0.0411,49991,6759982
0.0412,49028,6709991
0.0413,48936,6660963
0.0414,48562,6612027
0.0415,47224,6563465
0.0416,47649,6516241
0.0417,46506,6468592
0.0418,46848,6422086
0.0419,46596,6375238
0.042,45498,6328642
0.0421,45711,6283144
0.0422,44698,6237433
0.0423,44272,6192735
0.0424,43810,6148463
0.0425,44152,6104653
0.0426,43185,6060501
0.0427,42783,6017316
0.0428,43163,5974533
0.0429,42509,5931370
0.043,41802,5888861
0.0431,41084,5847059
0.0432,41304,5805975
0.0433,41330,5764671
0.0434,40618,5723341
0.0435,40451,5682723
0.0436,40570,5642272
0.0437,39534,5601702
0.0438,38996,5562168
0.0439,38954,5523172
0.044,38487,5484218
0.0441,38707,5445731
0.0442,37545,5407024
0.0443,37760,5369479
0.0444,37202,5331719
0.0445,36889,5294517
0.0446,36586,5257628
0.0447,36351,5221042
0.0448,35942,5184691
0.0449,36033,5148749
0.045,34710,5112716
0.0451,34999,5078006
0.0452,35041,5043007
0.0453,34839,5007966
0.0454,34125,4973127
0.0455,34121,4939002
0.0456,34208,4904881
0.0457,33586,4870673
0.0458,32689,4837087
0.0459,32337,4804398
0.046,32395,4772061
0.0461,31869,4739666
0.0462,31490,4707797
0.0463,31879,4676307
0.0464,31370,4644428
0.0465,31697,4613058
0.0466,30855,4581361
0.0467,30979,4550506
0.0468,30618,4519527
0.0469,30068,4488909
0.047,30173,4458841
0.0471,29664,4428668
0.0472,29197,4399004
0.0473,29437,4369807
0.0474,29403,4340370
0.0475,28604,4310967
0.0476,28296,4282363
0.0477,28259,4254067
0.0478,28072,4225808
0.0479,27859,4197736
0.048,27327,4169877
0.0481,27336,4142550
0.0482,26996,4115214
0.0483,26927,4088218
0.0484,26487,4061291
0.0485,26007,4034804
0.0486,26425,4008797
0.0487,25870,3982372
0.0488,26143,3956502
0.0489,25722,3930359
0.049,25499,3904637
0.0491,25329,3879138
0.0492,24967,3853809
0.0493,24889,3828842
0.0494,24713,3803953
0.0495,25034,3779240
0.0496,24527,3754206
0.0497,24181,3729679
0.0498,23919,3705498
0.0499,23688,3681579
0.05,23628,3657891
0.0501,23285,3634263
0.0502,22935,3610978
0.0503,22911,3588043
0.0504,22841,3565132
0.0505,22570,3542291
0.0506,22380,3519721
0.0507,22349,3497341
0.0508,22091,3474992
0.0509,21820,3452901
0.051,21847,3431081
0.0511,21599,3409234
0.0512,21573,3387635
0.0513,21152,3366062
0.0514,21285,3344910
0.0515,20495,3323625
0.0516,20878,3303130
0.0517,20421,3282252
0.0518,20350,3261831
0.0519,20233,3241481
0.052,20392,3221248
0.0521,20012,3200856
0.0522,20084,3180844
0.0523,19859,3160760
0.0524,19764,3140901
0.0525,19376,3121137
0.0526,19294,3101761
0.0527,18974,3082467
0.0528,19173,3063493
0.0529,18449,3044320
0.053,18576,3025871
0.0531,18679,3007295
0.0532,18674,2988616
0.0533,18396,2969942
0.0534,18260,2951546
0.0535,17211,2933286
0.0536,17843,2916075
0.0537,17907,2898232
0.0538,17317,2880325
0.0539,17245,2863008
0.054,17120,2845763
0.0541,17283,2828643
0.0542,16933,2811360
0.0543,16835,2794427
0.0544,16789,2777592
0.0545,16374,2760803
0.0546,16482,2744429
0.0547,16118,2727947
0.0548,16397,2711829
0.0549,16110,2695432
0.055,15905,2679322
0.0551,16203,2663417
0.0552,15962,2647214
0.0553,15674,2631252
0.0554,15785,2615578
0.0555,15294,2599793
0.0556,15267,2584499
0.0557,15111,2569232
0.0558,15058,2554121
0.0559,14808,2539063
0.056,14848,2524255
0.0561,14872,2509407
0.0562,14482,2494535
0.0563,14701,2480053
0.0564,14259,2465352
0.0565,13988,2451093
0.0566,14092,2437105
0.0567,14173,2423013
0.0568,13943,2408840
0.0569,14007,2394897
0.057,13496,2380890
0.0571,13447,2367394
0.0572,13392,2353947
0.0573,13626,2340555
0.0574,13549,2326929
0.0575,13092,2313380
0.0576,12962,2300288
0.0577,12989,2287326
0.0578,13002,2274337
0.0579,12912,2261335
0.058,12844,2248423
0.0581,12657,2235579
0.0582,12468,2222922
0.0583,12037,2210454
0.0584,12435,2198417
0.0585,12256,2185982
0.0586,12399,2173726
0.0587,12499,2161327
0.0588,12072,2148828
0.0589,12098,2136756
0.059,12178,2124658
0.0591,11670,2112480
0.0592,11464,2100810
0.0593,11798,2089346
0.0594,11549,2077548
0.0595,11665,2065999
0.0596,11177,2054334
0.0597,11145,2043157
0.0598,11435,2032012
0.0599,10777,2020577
0.06,11170,2009800
0.0601,10726,1998630
0.0602,10914,1987904
0.0603,10445,1976990
0.0604,10502,1966545
0.0605,10445,1956043
0.0606,10358,1945598
0.0607,10530,1935240
0.0608,10263,1924710
0.0609,10459,1914447
0.061,10441,1903988
0.0611,10105,1893547
0.0612,9933,1883442
0.0613,9992,1873509
0.0614,9882,1863517
0.0615,9996,1853635
0.0616,9715,1843639
0.0617,9864,1833924
0.0618,9613,1824060
0.0619,9667,1814447
0.062,9760,1804780
0.0621,9285,1795020
0.0622,9463,1785735
0.0623,9457,1776272
0.0624,9442,1766815
0.0625,9220,1757373
0.0626,9147,1748153
0.0627,9173,1739006
0.0628,9090,1729833
0.0629,9054,1720743
0.063,9030,1711689
0.0631,8577,1702659
0.0632,9028,1694082
0.0633,8547,1685054
0.0634,8840,1676507
0.0635,8535,1667667
