"threshold","percentile_sum","cumulative_sum"
0.6635,41629,41626764
0.6634,40808,41667572
0.6633,41289,41708861
0.6632,41183,41750044
0.6631,41331,41791375
0.663,40906,41832281
0.6629,41227,41873508
0.6628,41736,41915244
0.6627,41053,41956297
0.6626,41436,41997733
0.6625,41672,42039405
0.6624,41375,42080780
0.6623,41669,42122449
0.6622,41486,42163935
0.6621,41793,42205728
0.662,41998,42247726
0.6619,41302,42289028
0.6618,41401,42330429
0.6617,41657,42372086
0.6616,41804,42413890
0.6615,41276,42455166
0.6614,41949,42497115
0.6613,41431,42538546
0.6612,41611,42580157
0.6611,41458,42621615
0.661,41366,42662981
0.6609,41367,42704348
0.6608,41577,42745925
0.6607,41429,42787354
0.6606,42347,42829701
0.6605,41614,42871315
0.6604,41326,42912641
0.6603,41374,42954015
0.6602,41390,42995405
0.6601,42143,43037548
0.66,41910,43079458
0.6599,42666,43122124
0.6598,41180,43163304
0.6597,42006,43205310
0.6596,42101,43247411
0.6595,41943,43289354
0.6594,41706,43331060
0.6593,42542,43373602
0.6592,41812,43415414
0.6591,41520,43456934
0.659,41609,43498543
0.6589,42459,43541002
0.6588,41893,43582895
0.6587,42259,43625154
0.6586,42232,43667386
0.6585,41415,43708801
0.6584,42115,43750916
0.6583,41819,43792735
0.6582,42232,43834967
0.6581,42444,43877411
0.658,42096,43919507
0.6579,42053,43961560
0.6578,41878,44003438
0.6577,42522,44045960
0.6576,41805,44087765
0.6575,42002,44129767
0.6574,41977,44171744
0.6573,41915,44213659
0.6572,42164,44255823
0.6571,41469,44297292
0.657,42045,44339337
0.6569,41759,44381096
0.6568,42114,44423210
0.6567,42111,44465321
0.6566,42364,44507685
0.6565,42931,44550616
0.6564,42253,44592869
0.6563,42145,44635014
0.6562,42350,44677364
0.6561,42428,44719792
0.656,41993,44761785
0.6559,42401,44804186
0.6558,42817,44847003
0.6557,43215,44890218
0.6556,42749,44932967
0.6555,42578,44975545
0.6554,42007,45017552
0.6553,41955,45059507
0.6552,42349,45101856
0.6551,42597,45144453
0.655,42419,45186872
0.6549,42490,45229362
0.6548,42664,45272026
0.6547,42254,45314280
0.6546,42450,45356730
0.6545,41985,45398715
0.6544,41956,45440671
0.6543,42355,45483026
0.6542,42533,45525559
0.6541,43012,45568571
0.654,42451,45611022
0.6539,42983,45654005
0.6538,43105,45697110
0.6537,42497,45739607
0.6536,42393,45782000
0.6535,42999,45824999
0.6534,42784,45867783
0.6533,42682,45910465
0.6532,42708,45953173
0.6531,42664,45995837
0.653,42057,46037894
0.6529,42730,46080624
0.6528,42910,46123534
0.6527,42007,46165541
0.6526,42685,46208226
0.6525,42627,46250853
0.6524,42760,46293613
0.6523,43157,46336770
0.6522,42826,46379596
0.6521,43360,46422956
0.652,43090,46466046
0.6519,43554,46509600
0.6518,42847,46552447
0.6517,42317,46594764
0.6516,43073,46637837
0.6515,42583,46680420
0.6514,43157,46723577
0.6513,43027,46766604
