"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.2980000000,213378550,3876300,0.0181660000,0.0034550000,47.6303000000,90.7777000000,0.0285950000,0.0095320000,1.9057910200,3876300.0000000000,209502250.0000000000,234217100.0000000000,393800.0000000000
0.2979000000,213480100,3876700,0.0181600000,0.0039390000,47.6529000000,90.7871000000,0.0285950000,0.0095320000,1.9051615610,3876700.0000000000,209603400.0000000000,234115950.0000000000,393400.0000000000
0.2978000000,213581450,3877050,0.0181530000,0.0034530000,47.6756000000,90.7953000000,0.0285950000,0.0095320000,1.9044271930,3877050.0000000000,209704400.0000000000,234014950.0000000000,393050.0000000000
0.2977000000,213683350,3877450,0.0181460000,0.0039250000,47.6983000000,90.8047000000,0.0285950000,0.0095320000,1.9036928240,3877450.0000000000,209805900.0000000000,233913450.0000000000,392650.0000000000
0.2976000000,213785300,3877850,0.0181390000,0.0039230000,47.7211000000,90.8140000000,0.0285950000,0.0095320000,1.9029584560,3877850.0000000000,209907450.0000000000,233811900.0000000000,392250.0000000000
0.2975000000,213886250,3878250,0.0181320000,0.0039620000,47.7436000000,90.8234000000,0.0285950000,0.0095320000,1.9022240870,3878250.0000000000,210008000.0000000000,233711350.0000000000,391850.0000000000
0.2974000000,213988550,3878650,0.0181260000,0.0039100000,47.7664000000,90.8328000000,0.0285950000,0.0095320000,1.9015946290,3878650.0000000000,210109900.0000000000,233609450.0000000000,391450.0000000000
0.2973000000,214090250,3879000,0.0181190000,0.0034410000,47.7891000000,90.8410000000,0.0285950000,0.0095320000,1.9008602600,3879000.0000000000,210211250.0000000000,233508100.0000000000,391100.0000000000
0.2972000000,214192750,3879400,0.0181120000,0.0039020000,47.8120000000,90.8503000000,0.0285950000,0.0095320000,1.9001258920,3879400.0000000000,210313350.0000000000,233406000.0000000000,390700.0000000000
0.2971000000,214293900,3879800,0.0181050000,0.0039550000,47.8346000000,90.8597000000,0.0285950000,0.0095320000,1.8993915230,3879800.0000000000,210414100.0000000000,233305250.0000000000,390300.0000000000
0.2970000000,214395250,3880150,0.0180980000,0.0034530000,47.8572000000,90.8679000000,0.0285950000,0.0095320000,1.8986571550,3880150.0000000000,210515100.0000000000,233204250.0000000000,389950.0000000000
