"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.3811000000,147330200,4729650,0.0321020000,0.0109980000,32.8870000000,79.8981000000,0.0396410000,0.0132140000,2.4293930680,4729650.0000000000,142600550.0000000000,299469300.0000000000,1189950.0000000000
0.3810000000,147389550,4730300,0.0320940000,0.0109520000,32.9002000000,79.9091000000,0.0396410000,0.0132140000,2.4287876490,4730300.0000000000,142659250.0000000000,299410600.0000000000,1189300.0000000000
0.3809000000,147449250,4731000,0.0320860000,0.0117250000,32.9136000000,79.9209000000,0.0396410000,0.0132140000,2.4281822310,4731000.0000000000,142718250.0000000000,299351600.0000000000,1188600.0000000000
0.3808000000,147508200,4731700,0.0320780000,0.0118740000,32.9267000000,79.9328000000,0.0396410000,0.0132140000,2.4275768120,4731700.0000000000,142776500.0000000000,299293350.0000000000,1187900.0000000000
0.3807000000,147567750,4732400,0.0320690000,0.0117550000,32.9400000000,79.9446000000,0.0396410000,0.0132140000,2.4268957170,4732400.0000000000,142835350.0000000000,299234500.0000000000,1187200.0000000000
0.3806000000,147627950,4733000,0.0320600000,0.0099670000,32.9534000000,79.9547000000,0.0396410000,0.0132140000,2.4262146210,4733000.0000000000,142894950.0000000000,299174900.0000000000,1186600.0000000000
0.3805000000,147687100,4733700,0.0320520000,0.0118340000,32.9666000000,79.9666000000,0.0396410000,0.0132140000,2.4256092020,4733700.0000000000,142953400.0000000000,299116450.0000000000,1185900.0000000000
0.3804000000,147747100,4734350,0.0320440000,0.0108330000,32.9800000000,79.9775000000,0.0396410000,0.0132140000,2.4250037840,4734350.0000000000,143012750.0000000000,299057100.0000000000,1185250.0000000000
0.3803000000,147806750,4735050,0.0320350000,0.0117350000,32.9934000000,79.9894000000,0.0396410000,0.0132140000,2.4243226880,4735050.0000000000,143071700.0000000000,298998150.0000000000,1184550.0000000000
0.3802000000,147866550,4735750,0.0320270000,0.0117060000,33.0067000000,80.0012000000,0.0396410000,0.0132140000,2.4237172700,4735750.0000000000,143130800.0000000000,298939050.0000000000,1183850.0000000000
0.3801000000,147926700,4736400,0.0320190000,0.0108060000,33.0201000000,80.0122000000,0.0396410000,0.0132140000,2.4231118510,4736400.0000000000,143190300.0000000000,298879550.0000000000,1183200.0000000000
0.3800000000,147987200,4737100,0.0320100000,0.0115700000,33.0336000000,80.0240000000,0.0396410000,0.0132140000,2.4224307550,4737100.0000000000,143250100.0000000000,298819750.0000000000,1182500.0000000000
0.3799000000,148047950,4737800,0.0320020000,0.0115230000,33.0472000000,80.0358000000,0.0396410000,0.0132140000,2.4218253370,4737800.0000000000,143310150.0000000000,298759700.0000000000,1181800.0000000000
0.3798000000,148108400,4738500,0.0319930000,0.0115800000,33.0607000000,80.0476000000,0.0396410000,0.0132140000,2.4211442410,4738500.0000000000,143369900.0000000000,298699950.0000000000,1181100.0000000000
0.3797000000,148167800,4739150,0.0319850000,0.0109430000,33.0739000000,80.0586000000,0.0396410000,0.0132140000,2.4205388220,4739150.0000000000,143428650.0000000000,298641200.0000000000,1180450.0000000000
0.3796000000,148227350,4739800,0.0319770000,0.0109150000,33.0872000000,80.0696000000,0.0396410000,0.0132140000,2.4199334040,4739800.0000000000,143487550.0000000000,298582300.0000000000,1179800.0000000000
0.3795000000,148286900,4740500,0.0319680000,0.0117550000,33.1005000000,80.0814000000,0.0396410000,0.0132140000,2.4192523080,4740500.0000000000,143546400.0000000000,298523450.0000000000,1179100.0000000000
0.3794000000,148346250,4741200,0.0319600000,0.0117940000,33.1138000000,80.0932000000,0.0396410000,0.0132140000,2.4186468900,4741200.0000000000,143605050.0000000000,298464800.0000000000,1178400.0000000000
0.3793000000,148405650,4741850,0.0319520000,0.0109430000,33.1270000000,80.1042000000,0.0396410000,0.0132140000,2.4180414710,4741850.0000000000,143663800.0000000000,298406050.0000000000,1177750.0000000000
0.3792000000,148464600,4742500,0.0319440000,0.0110260000,33.1402000000,80.1152000000,0.0396410000,0.0132140000,2.4174360530,4742500.0000000000,143722100.0000000000,298347750.0000000000,1177100.0000000000
0.3791000000,148524500,4743200,0.0319350000,0.0116860000,33.1536000000,80.1270000000,0.0396410000,0.0132140000,2.4167549570,4743200.0000000000,143781300.0000000000,298288550.0000000000,1176400.0000000000
0.3790000000,148584400,4743800,0.0319270000,0.0100170000,33.1669000000,80.1372000000,0.0396410000,0.0132140000,2.4161495380,4743800.0000000000,143840600.0000000000,298229250.0000000000,1175800.0000000000
0.3789000000,148653150,4744550,0.0319170000,0.0109090000,33.1823000000,80.1498000000,0.0396410000,0.0132140000,2.4153927650,4744550.0000000000,143908600.0000000000,298161250.0000000000,1175050.0000000000
0.3788000000,148712550,4745200,0.0319090000,0.0109430000,33.1955000000,80.1608000000,0.0396410000,0.0132140000,2.4147873470,4745200.0000000000,143967350.0000000000,298102500.0000000000,1174400.0000000000
0.3787000000,148772200,4745900,0.0319000000,0.0117350000,33.2089000000,80.1726000000,0.0396410000,0.0132140000,2.4141062510,4745900.0000000000,144026300.0000000000,298043550.0000000000,1173700.0000000000
0.3786000000,148831900,4746550,0.0318920000,0.0108880000,33.2222000000,80.1836000000,0.0396410000,0.0132140000,2.4135008320,4746550.0000000000,144085350.0000000000,297984500.0000000000,1173050.0000000000
0.3785000000,148891800,4747250,0.0318840000,0.0116860000,33.2356000000,80.1955000000,0.0396410000,0.0132140000,2.4128954140,4747250.0000000000,144144550.0000000000,297925300.0000000000,1172350.0000000000
0.3784000000,148951550,4747850,0.0318750000,0.0100420000,33.2489000000,80.2056000000,0.0396410000,0.0132140000,2.4122143180,4747850.0000000000,144203700.0000000000,297866150.0000000000,1171750.0000000000
0.3783000000,149010750,4748550,0.0318670000,0.0118240000,33.2621000000,80.2174000000,0.0396410000,0.0132140000,2.4116089000,4748550.0000000000,144262200.0000000000,297807650.0000000000,1171050.0000000000
0.3782000000,149071300,4749250,0.0318590000,0.0115610000,33.2756000000,80.2292000000,0.0396410000,0.0132140000,2.4110034810,4749250.0000000000,144322050.0000000000,297747800.0000000000,1170350.0000000000
0.3781000000,149131350,4749850,0.0318500000,0.0099920000,33.2890000000,80.2394000000,0.0396410000,0.0132140000,2.4103223850,4749850.0000000000,144381500.0000000000,297688350.0000000000,1169750.0000000000
0.3780000000,149191800,4750550,0.0318420000,0.0115800000,33.3025000000,80.2512000000,0.0396410000,0.0132140000,2.4097169670,4750550.0000000000,144441250.0000000000,297628600.0000000000,1169050.0000000000
0.3779000000,149250800,4751150,0.0318330000,0.0101690000,33.3157000000,80.2613000000,0.0396410000,0.0132140000,2.4090358710,4751150.0000000000,144499650.0000000000,297570200.0000000000,1168450.0000000000
0.3778000000,149311100,4751750,0.0318240000,0.0099500000,33.3292000000,80.2715000000,0.0396410000,0.0132140000,2.4083547750,4751750.0000000000,144559350.0000000000,297510500.0000000000,1167850.0000000000
0.3777000000,149370550,4752450,0.0318170000,0.0117750000,33.3424000000,80.2833000000,0.0396410000,0.0132140000,2.4078250340,4752450.0000000000,144618100.0000000000,297451750.0000000000,1167150.0000000000
0.3776000000,149430950,4753100,0.0318080000,0.0107620000,33.3559000000,80.2943000000,0.0396410000,0.0132140000,2.4071439380,4753100.0000000000,144677850.0000000000,297392000.0000000000,1166500.0000000000
0.3775000000,149491000,4753700,0.0317990000,0.0099920000,33.3693000000,80.3044000000,0.0396410000,0.0132140000,2.4064628420,4753700.0000000000,144737300.0000000000,297332550.0000000000,1165900.0000000000
0.3774000000,149550650,4754400,0.0317910000,0.0117350000,33.3826000000,80.3162000000,0.0396410000,0.0132140000,2.4058574240,4754400.0000000000,144796250.0000000000,297273600.0000000000,1165200.0000000000
0.3773000000,149610850,4755000,0.0317820000,0.0099670000,33.3961000000,80.3264000000,0.0396410000,0.0132140000,2.4051763280,4755000.0000000000,144855850.0000000000,297214000.0000000000,1164600.0000000000
0.3772000000,149669950,4755650,0.0317740000,0.0109980000,33.4093000000,80.3374000000,0.0396410000,0.0132140000,2.4045709100,4755650.0000000000,144914300.0000000000,297155550.0000000000,1163950.0000000000
0.3771000000,149729800,4756300,0.0317660000,0.0108600000,33.4226000000,80.3483000000,0.0396410000,0.0132140000,2.4039654910,4756300.0000000000,144973500.0000000000,297096350.0000000000,1163300.0000000000
0.3770000000,149790000,4756950,0.0317570000,0.0107970000,33.4361000000,80.3593000000,0.0396410000,0.0132140000,2.4032843950,4756950.0000000000,145033050.0000000000,297036800.0000000000,1162650.0000000000
0.3769000000,149849150,4757600,0.0317490000,0.0109890000,33.4493000000,80.3703000000,0.0396410000,0.0132140000,2.4026789770,4757600.0000000000,145091550.0000000000,296978300.0000000000,1162000.0000000000
0.3768000000,149909600,4758250,0.0317410000,0.0107530000,33.4628000000,80.3813000000,0.0396410000,0.0132140000,2.4020735580,4758250.0000000000,145151350.0000000000,296918500.0000000000,1161350.0000000000
0.3767000000,149969500,4758950,0.0317330000,0.0116860000,33.4761000000,80.3931000000,0.0396410000,0.0132140000,2.4014681400,4758950.0000000000,145210550.0000000000,296859300.0000000000,1160650.0000000000
0.3766000000,150029850,4759650,0.0317250000,0.0115990000,33.4896000000,80.4049000000,0.0396410000,0.0132140000,2.4008627210,4759650.0000000000,145270200.0000000000,296799650.0000000000,1159950.0000000000
0.3765000000,150089750,4760300,0.0317160000,0.0108510000,33.5030000000,80.4159000000,0.0396410000,0.0132140000,2.4001816260,4760300.0000000000,145329450.0000000000,296740400.0000000000,1159300.0000000000
0.3764000000,150150250,4761000,0.0317080000,0.0115700000,33.5165000000,80.4277000000,0.0396410000,0.0132140000,2.3995762070,4761000.0000000000,145389250.0000000000,296680600.0000000000,1158600.0000000000
0.3763000000,150210700,4761600,0.0316990000,0.0099260000,33.5300000000,80.4379000000,0.0396410000,0.0132140000,2.3988951110,4761600.0000000000,145449100.0000000000,296620750.0000000000,1158000.0000000000
0.3762000000,150271700,4762350,0.0316920000,0.0122950000,33.5436000000,80.4505000000,0.0396410000,0.0132140000,2.3983653700,4762350.0000000000,145509350.0000000000,296560500.0000000000,1157250.0000000000
0.3761000000,150332200,4763000,0.0316830000,0.0107440000,33.5571000000,80.4615000000,0.0396410000,0.0132140000,2.3976842740,4763000.0000000000,145569200.0000000000,296500650.0000000000,1156600.0000000000
0.3760000000,150392250,4763650,0.0316750000,0.0108240000,33.5705000000,80.4725000000,0.0396410000,0.0132140000,2.3970788560,4763650.0000000000,145628600.0000000000,296441250.0000000000,1155950.0000000000
0.3759000000,150451900,4764350,0.0316670000,0.0117350000,33.5838000000,80.4843000000,0.0396410000,0.0132140000,2.3964734370,4764350.0000000000,145687550.0000000000,296382300.0000000000,1155250.0000000000
