"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.4318000000,92414550,3523950,0.0381320000,0.0170730000,20.6287000000,52.9169000000,0.0445950000,0.0148650000,2.5652203160,3523950.0000000000,88890600.0000000000,352439450.0000000000,3135450.0000000000
0.4317000000,92537100,3526000,0.0381040000,0.0167280000,20.6561000000,52.9477000000,0.0445950000,0.0148650000,2.5633366970,3526000.0000000000,89011100.0000000000,352318950.0000000000,3133400.0000000000
0.4316000000,92659700,3528100,0.0380760000,0.0171290000,20.6835000000,52.9792000000,0.0445950000,0.0148650000,2.5614530780,3528100.0000000000,89131600.0000000000,352198450.0000000000,3131300.0000000000
0.4315000000,92782050,3530250,0.0380490000,0.0175730000,20.7108000000,53.0115000000,0.0445950000,0.0148650000,2.5596367310,3530250.0000000000,89251800.0000000000,352078250.0000000000,3129150.0000000000
0.4314000000,92905200,3532350,0.0380210000,0.0170520000,20.7383000000,53.0431000000,0.0445950000,0.0148650000,2.5577531110,3532350.0000000000,89372850.0000000000,351957200.0000000000,3127050.0000000000
0.4313000000,93028600,3534450,0.0379930000,0.0170180000,20.7658000000,53.0746000000,0.0445950000,0.0148650000,2.5558694920,3534450.0000000000,89494150.0000000000,351835900.0000000000,3124950.0000000000
0.4312000000,93152300,3536550,0.0379650000,0.0169770000,20.7934000000,53.1061000000,0.0445950000,0.0148650000,2.5539858730,3536550.0000000000,89615750.0000000000,351714300.0000000000,3122850.0000000000
0.4311000000,93276550,3538700,0.0379380000,0.0173040000,20.8211000000,53.1384000000,0.0445950000,0.0148650000,2.5521695260,3538700.0000000000,89737850.0000000000,351592200.0000000000,3120700.0000000000
0.4310000000,93399300,3540900,0.0379110000,0.0179230000,20.8485000000,53.1715000000,0.0445950000,0.0148650000,2.5503531790,3540900.0000000000,89858400.0000000000,351471650.0000000000,3118500.0000000000
0.4309000000,93523550,3543150,0.0378850000,0.0181090000,20.8763000000,53.2052000000,0.0445950000,0.0148650000,2.5486041040,3543150.0000000000,89980400.0000000000,351349650.0000000000,3116250.0000000000
