"threshold","percentile_sum","cumulative_sum"
0.0697,37115,7547516
0.0696,37538,7585054
0.0695,38029,7623083
0.0694,37675,7660758
0.0693,38167,7698925
0.0692,37837,7736762
0.0691,39119,7775881
0.069,39150,7815031
0.0689,38935,7853966
0.0688,39735,7893701
0.0687,39863,7933564
0.0686,39716,7973280
0.0685,40054,8013334
0.0684,40669,8054003
0.0683,40228,8094231
0.0682,39972,8134203
0.0681,40453,8174656
0.068,41226,8215882
0.0679,41816,8257698
0.0678,42055,8299753
0.0677,42650,8342403
0.0676,41608,8384011
0.0675,42636,8426647
0.0674,43413,8470060
0.0673,42169,8512229
0.0672,43313,8555542
0.0671,43989,8599531
0.067,44247,8643778
0.0669,44142,8687920
0.0668,44447,8732367
0.0667,44904,8777271
0.0666,45077,8822348
0.0665,44909,8867257
0.0664,45235,8912492
0.0663,45032,8957524
0.0662,46258,9003782
0.0661,47015,9050797
0.066,46528,9097325
0.0659,46851,9144176
0.0658,47357,9191533
0.0657,47524,9239057
0.0656,48187,9287244
0.0655,48604,9335848
0.0654,48572,9384420
0.0653,48227,9432647
0.0652,48900,9481547
0.0651,49324,9530871
0.065,48546,9579417
0.0649,49959,9629376
0.0648,50953,9680329
0.0647,51111,9731440
0.0646,51280,9782720
0.0645,51843,9834563
0.0644,51230,9885793
0.0643,51117,9936910
0.0642,52205,9989115
0.0641,52154,10041269
0.064,53505,10094774
0.0639,53123,10147897
0.0638,52998,10200895
0.0637,53862,10254757
0.0636,54038,10308795
0.0635,54360,10363155
0.0634,55023,10418178
0.0633,54817,10472995
0.0632,55625,10528620
0.0631,55970,10584590
0.063,56622,10641212
0.0629,56873,10698085
0.0628,57180,10755265
0.0627,57124,10812389
0.0626,57697,10870086
0.0625,58117,10928203
0.0624,58200,10986403
0.0623,58545,11044948
0.0622,59068,11104016
0.0621,59429,11163445
0.062,59829,11223274
0.0619,60944,11284218
0.0618,61388,11345606
0.0617,60786,11406392
0.0616,61288,11467680
0.0615,61861,11529541
0.0614,62689,11592230
0.0613,62708,11654938
0.0612,63020,11717958
0.0611,62796,11780754
0.061,63149,11843903
0.0609,63794,11907697
0.0608,64191,11971888
0.0607,64743,12036631
0.0606,65327,12101958
0.0605,66121,12168079
0.0604,66372,12234451
0.0603,66901,12301352
0.0602,67685,12369037
0.0601,67014,12436051
0.06,67898,12503949
0.0599,68808,12572757
0.0598,68913,12641670
0.0597,69185,12710855
0.0596,69642,12780497
0.0595,70571,12851068
0.0594,70749,12921817
0.0593,70410,12992227
0.0592,71417,13063644
0.0591,71998,13135642
0.059,72621,13208263
0.0589,73484,13281747
0.0588,73428,13355175
0.0587,73649,13428824
0.0586,74101,13502925
0.0585,74317,13577242
0.0584,75243,13652485
0.0583,75897,13728382
0.0582,76622,13805004
0.0581,77608,13882612
0.058,77923,13960535
0.0579,79156,14039691
0.0578,77060,14116751
0.0577,78209,14194960
0.0576,79886,14274846
0.0575,79918,14354764
0.0574,80257,14435021
0.0573,80630,14515651
0.0572,81684,14597335
0.0571,81406,14678741
0.057,82946,14761687
0.0569,84359,14846046
0.0568,83222,14929268
0.0567,84221,15013489
0.0566,85016,15098505
0.0565,85213,15183718
0.0564,86012,15269730
0.0563,86762,15356492
0.0562,86826,15443318
0.0561,86673,15529991
0.056,87502,15617493
0.0559,88259,15705752
0.0558,88556,15794308
0.0557,89790,15884098
0.0556,89084,15973182
0.0555,90871,16064053
0.0554,90663,16154716
0.0553,91111,16245827
0.0552,92545,16338372
0.0551,93621,16431993
0.055,94592,16526585
0.0549,93713,16620298
0.0548,95212,16715510
0.0547,95872,16811382
0.0546,96461,16907843
0.0545,96137,17003980
0.0544,97388,17101368
0.0543,98655,17200023
0.0542,99102,17299125
0.0541,99468,17398593
0.054,99988,17498581
0.0539,100915,17599496
0.0538,101584,17701080
0.0537,101542,17802622
0.0536,102427,17905049
0.0535,103621,18008670
0.0534,104969,18113639
0.0533,105832,18219471
0.0532,105537,18325008
0.0531,106861,18431869
0.053,106878,18538747
0.0529,107823,18646570
0.0528,108966,18755536
0.0527,108749,18864285
0.0526,109540,18973825
0.0525,110338,19084163
0.0524,111622,19195785
0.0523,113199,19308984
0.0522,113131,19422115
0.0521,113604,19535719
0.052,113748,19649467
0.0519,114281,19763748
0.0518,116759,19880507
0.0517,116256,19996763
0.0516,118146,20114909
0.0515,118107,20233016
0.0514,118697,20351713
0.0513,119088,20470801
0.0512,119723,20590524
0.0511,120894,20711418
0.051,122544,20833962
0.0509,121188,20955150
0.0508,123921,21079071
0.0507,123546,21202617
0.0506,124815,21327432
0.0505,125942,21453374
0.0504,126893,21580267
0.0503,129481,21709748
0.0502,128996,21838744
0.0501,130907,21969651
0.05,130001,22099652
0.0499,131813,22231465
0.0498,132059,22363524
0.0497,133268,22496792
0.0496,135769,22632561
0.0495,134515,22767076
0.0494,136421,22903497
0.0493,136163,23039660
0.0492,137023,23176683
0.0491,138733,23315416
0.049,138687,23454103
0.0489,140604,23594707
0.0488,141665,23736372
0.0487,141691,23878063
0.0486,143476,24021539
0.0485,145555,24167094
0.0484,144495,24311589
0.0483,146617,24458206
0.0482,146348,24604554
0.0481,147377,24751931
0.048,149397,24901328
0.0479,149631,25050959
0.0478,151629,25202588
0.0477,151848,25354436
0.0476,153483,25507919
0.0475,155028,25662947
0.0474,154638,25817585
0.0473,156227,25973812
0.0472,156648,26130460
0.0471,158574,26289034
0.047,160250,26449284
0.0469,160269,26609553
