"threshold","percentile_sum","cumulative_sum"
0.5004,87394,52876140
0.5003,86638,52962778
0.5002,87651,53050429
0.5001,87272,53137701
0.5,88381,53226082
0.4999,88255,53314337
0.4998,87778,53402115
0.4997,88087,53490202
0.4996,88353,53578555
0.4995,89579,53668134
0.4994,88681,53756815
0.4993,88456,53845271
0.4992,87495,53932766
0.4991,89093,54021859
0.499,90877,54112736
0.4989,88766,54201502
0.4988,88956,54290458
0.4987,89336,54379794
0.4986,89888,54469682
0.4985,88690,54558372
0.4984,90414,54648786
0.4983,89953,54738739
0.4982,90648,54829387
0.4981,89755,54919142
0.498,90164,55009306
0.4979,90527,55099833
0.4978,90212,55190045
0.4977,90444,55280489
0.4976,90242,55370731
0.4975,90827,55461558
0.4974,91172,55552730
0.4973,90121,55642851
0.4972,91100,55733951
0.4971,91053,55825004
0.497,91828,55916832
0.4969,90754,56007586
0.4968,91571,56099157
0.4967,91895,56191052
0.4966,91482,56282534
0.4965,92583,56375117
0.4964,92151,56467268
0.4963,92222,56559490
0.4962,92843,56652333
0.4961,92218,56744551
0.496,92937,56837488
0.4959,93061,56930549
0.4958,93406,57023955
0.4957,93419,57117374
0.4956,93412,57210786
0.4955,93891,57304677
0.4954,92625,57397302
0.4953,93414,57490716
0.4952,93007,57583723
0.4951,93674,57677397
0.495,94999,57772396
0.4949,94633,57867029
0.4948,94854,57961883
0.4947,94682,58056565
0.4946,94960,58151525
0.4945,95464,58246989
0.4944,95003,58341992
0.4943,95192,58437184
0.4942,95426,58532610
0.4941,95650,58628260
0.494,95089,58723349
0.4939,96348,58819697
0.4938,95664,58915361
0.4937,96083,59011444
0.4936,95680,59107124
0.4935,96691,59203815
0.4934,96336,59300151
0.4933,95444,59395595
0.4932,96084,59491679
0.4931,95594,59587273
0.493,96671,59683944
0.4929,96608,59780552
0.4928,96932,59877484
0.4927,96711,59974195
0.4926,97274,60071469
0.4925,97827,60169296
0.4924,97755,60267051
0.4923,97465,60364516
0.4922,97466,60461982
0.4921,97920,60559902
0.492,97570,60657472
0.4919,97468,60754940
0.4918,98658,60853598
0.4917,98719,60952317
0.4916,98757,61051074
0.4915,98986,61150060
0.4914,98664,61248724
0.4913,99197,61347921
0.4912,98615,61446536
0.4911,99077,61545613
0.491,99579,61645192
0.4909,98668,61743860
0.4908,100002,61843862
0.4907,99784,61943646
0.4906,99783,62043429
0.4905,99382,62142811
0.4904,100918,62243729
0.4903,99775,62343504
0.4902,99970,62443474
0.4901,100742,62544216
0.49,101381,62645597
0.4899,101962,62747559
0.4898,100782,62848341
0.4897,101722,62950063
0.4896,100866,63050929
0.4895,101068,63151997
0.4894,100748,63252745
0.4893,101991,63354736
0.4892,101213,63455949
0.4891,102245,63558194
0.489,102236,63660430
0.4889,101739,63762169
0.4888,103178,63865347
0.4887,101101,63966448
0.4886,102095,64068543
0.4885,102988,64171531
0.4884,102993,64274524
0.4883,103672,64378196
0.4882,102202,64480398
0.4881,103418,64583816
0.488,102945,64686761
0.4879,103509,64790270
0.4878,103422,64893692
0.4877,103411,64997103
0.4876,103121,65100224
0.4875,104662,65204886
0.4874,103501,65308387
0.4873,103467,65411854
0.4872,103976,65515830
0.4871,102784,65618614
0.487,104383,65722997
0.4869,105169,65828166
0.4868,103408,65931574
0.4867,105123,66036697
0.4866,105729,66142426
0.4865,104945,66247371
0.4864,104953,66352324
0.4863,105904,66458228
0.4862,105959,66564187
0.4861,106635,66670822
0.486,106700,66777522
0.4859,105486,66883008
0.4858,106570,66989578
0.4857,106295,67095873
0.4856,106176,67202049
0.4855,106883,67308932
0.4854,106644,67415576
0.4853,107384,67522960
0.4852,106274,67629234
0.4851,106612,67735846
0.485,106721,67842567
0.4849,107317,67949884
0.4848,107833,68057717
0.4847,107091,68164808
0.4846,107976,68272784
0.4845,107421,68380205
0.4844,108533,68488738
0.4843,107869,68596607
0.4842,108191,68704798
0.4841,108569,68813367
0.484,107706,68921073
0.4839,107828,69028901
0.4838,107992,69136893
0.4837,109016,69245909
0.4836,109612,69355521
0.4835,109889,69465410
0.4834,109771,69575181
0.4833,108949,69684130
0.4832,109315,69793445
0.4831,111039,69904484
0.483,110590,70015074
0.4829,109630,70124704
0.4828,110368,70235072
0.4827,110165,70345237
0.4826,110366,70455603
0.4825,111361,70566964
0.4824,111016,70677980
0.4823,111144,70789124
0.4822,111951,70901075
0.4821,110613,71011688
0.482,111546,71123234
0.4819,110042,71233276
0.4818,111160,71344436
0.4817,111515,71455951
0.4816,110977,71566928
0.4815,112042,71678970
0.4814,111250,71790220
0.4813,112761,71902981
0.4812,112908,72015889
0.4811,112502,72128391
0.481,113479,72241870
0.4809,112536,72354406
0.4808,113984,72468390
0.4807,113037,72581427
0.4806,113389,72694816
0.4805,113716,72808532
0.4804,113253,72921785
0.4803,113943,73035728
0.4802,113735,73149463
0.4801,114244,73263707
0.48,114085,73377792
0.4799,114219,73492011
0.4798,114425,73606436
0.4797,113527,73719963
0.4796,113302,73833265
0.4795,115679,73948944
0.4794,115054,74063998
0.4793,115176,74179174
0.4792,114899,74294073
0.4791,116238,74410311
0.479,115506,74525817
0.4789,115050,74640867
0.4788,115994,74756861
0.4787,115890,74872751
0.4786,115154,74987905
0.4785,116610,75104515
0.4784,117200,75221715
0.4783,116806,75338521
0.4782,115675,75454196
0.4781,117052,75571248
0.478,116372,75687620
0.4779,117811,75805431
0.4778,117474,75922905
0.4777,118264,76041169
0.4776,116249,76157418
0.4775,119273,76276691
0.4774,117025,76393716
0.4773,118949,76512665
0.4772,118877,76631542
0.4771,118290,76749832
0.477,118898,76868730
0.4769,118394,76987124
0.4768,117945,77105069
0.4767,118260,77223329
0.4766,118925,77342254
0.4765,119475,77461729
0.4764,118212,77579941
0.4763,119006,77698947
0.4762,120639,77819586
0.4761,120035,77939621
0.476,119417,78059038
0.4759,119669,78178707
0.4758,121012,78299719
0.4757,119556,78419275
0.4756,119845,78539120
0.4755,119872,78658992
0.4754,120879,78779871
0.4753,120511,78900382
0.4752,120404,79020786
0.4751,121895,79142681
0.475,120109,79262790
0.4749,122621,79385411
0.4748,121854,79507265
0.4747,120940,79628205
0.4746,121176,79749381
0.4745,123084,79872465
0.4744,122188,79994653
0.4743,122442,80117095
0.4742,121747,80238842
0.4741,122206,80361048
0.474,121792,80482840
0.4739,123445,80606285
0.4738,122919,80729204
0.4737,123006,80852210
0.4736,121910,80974120
0.4735,123793,81097913
0.4734,123327,81221240
0.4733,124031,81345271
0.4732,123440,81468711
0.4731,124937,81593648
0.473,123345,81716993
0.4729,124754,81841747
0.4728,125284,81967031
0.4727,124204,82091235
0.4726,125779,82217014
0.4725,124004,82341018
0.4724,124588,82465606
0.4723,125820,82591426
0.4722,124310,82715736
0.4721,125282,82841018
0.472,125708,82966726
0.4719,126764,83093490
0.4718,126722,83220212
0.4717,126682,83346894
0.4716,126158,83473052
0.4715,125787,83598839
0.4714,126549,83725388
0.4713,126798,83852186
0.4712,127366,83979552
0.4711,126677,84106229
0.471,127546,84233775
0.4709,127289,84361064
0.4708,127513,84488577
0.4707,127276,84615853
0.4706,128157,84744010
0.4705,127354,84871364
0.4704,128504,84999868
0.4703,128515,85128383
0.4702,127621,85256004
0.4701,128266,85384270
0.47,128655,85512925
0.4699,129840,85642765
0.4698,129996,85772761
0.4697,128852,85901613
0.4696,129934,86031547
0.4695,129252,86160799
0.4694,129288,86290087
0.4693,129173,86419260
0.4692,131070,86550330
0.4691,130339,86680669
0.469,129597,86810266
0.4689,130919,86941185
0.4688,130265,87071450
0.4687,130466,87201916
0.4686,130317,87332233
0.4685,131352,87463585
0.4684,130838,87594423
0.4683,130167,87724590
0.4682,132168,87856758
0.4681,130697,87987455
0.468,130473,88117928
0.4679,130359,88248287
0.4678,132930,88381217
0.4677,132590,88513807
0.4676,131907,88645714
0.4675,132290,88778004
0.4674,131558,88909562
0.4673,133378,89042940
0.4672,133745,89176685
0.4671,132002,89308687
0.467,132308,89440995
0.4669,133057,89574052
0.4668,133676,89707728
0.4667,133523,89841251
0.4666,134157,89975408
0.4665,133920,90109328
0.4664,133629,90242957
0.4663,134077,90377034
0.4662,134362,90511396
0.4661,135174,90646570
0.466,133753,90780323
0.4659,135396,90915719
0.4658,135740,91051459
0.4657,135348,91186807
0.4656,135646,91322453
0.4655,136649,91459102
0.4654,136276,91595378
0.4653,135769,91731147
0.4652,134517,91865664
0.4651,136208,92001872
0.465,136423,92138295
0.4649,135600,92273895
0.4648,136698,92410593
0.4647,136621,92547214
0.4646,137898,92685112
0.4645,137096,92822208
0.4644,136574,92958782
0.4643,138206,93096988
0.4642,137850,93234838
0.4641,137525,93372363
0.464,138672,93511035
0.4639,138246,93649281
0.4638,139010,93788291
0.4637,138659,93926950
0.4636,138329,94065279
0.4635,138299,94203578
0.4634,139270,94342848
0.4633,139730,94482578
0.4632,138668,94621246
0.4631,138845,94760091
0.463,139834,94899925
0.4629,139403,95039328
0.4628,139690,95179018
0.4627,140068,95319086
0.4626,141171,95460257
0.4625,140148,95600405
0.4624,140262,95740667
0.4623,138806,95879473
0.4622,140771,96020244
0.4621,139925,96160169
0.462,140833,96301002
